Stephen King,birth,,9/21/1947,"September 21, 1947",
Stephen King,video,,9/24/2014,"September 24, 2014",_lWHQdpUBfc
Stephen King,video,,1989,1989,h9oVp6f5kxg
Stephen King,video,,11/22/2014,"November 22, 2014",gNvw0BcO_FM
Stephen King,video,,9/16/2013,"September 16, 2013",QQ_S89fdg38
Stephen King,video,,1/29/2015,"January 29, 2015",AgxqQV8hX8U
Stephen King,video,,6/7/2013,"June 7, 2013",OhKpZHOZfWY
Stephen King,video,,3/20/2001,"March 20, 2001",SyIPmksuc-g
Stephen King,video,,11/7/2014,"November 7, 2014",EhwLqRQ8unM
Stephen King,video,,10/4/2005,"October 4, 2005",P61KghCuQcU
Stephen King,video,,9/24/2014,"September 24, 2014",X-LBHRSNEZA
Stephen King,video,,1999,1999,CHNUhIc9Fig
Stephen King,video,,November- 1999,November- 1999,CHNUhIc9Fig
Stephen King,video,,11/8/2011,"November 8, 2011",0OS1IElIAN4
Stephen King,video,,11/13/2014,"November 13, 2014",FS7_I-d5PNk
Stephen King,video,,11/20/2013,"November 20, 2013",smVMFNuGw2w
Stephen King,video,,6/2/2014,"June 2, 2014",MTB9D7IpyBQ
Stephen King,video,,11/18/2009,"November 18, 2009",agGuYCmJIIw
Stephen King,video,,1996,1996,dpWQKVt0jmg
Steve Jobs,video,,6/7/2011,"June 7, 2011",Nf6C5Uc3ix4
Steve Jobs,video,,5/16/1997,"May 16, 1997",6iACK-LNnzM
Steve Jobs,video,,8/1/2003,"August 1, 2003",ZUfzXz23ndo
Steve Jobs,video,,8/1/1991,"August 1, 1991",HNfRgSlhIW0
Steve Jobs,video,,12/9/1998,"December 9, 1998",gJKmnKbx-aE
Steve Jobs,video,,5/22/2005,"May 22, 2005",Jh45gdJ6m1c
Steve Jobs,video,,1/8/1998,"January 8, 1998",2cs7uqbFdFI
Steve Jobs,video,,10/16/1996,"October 16, 1996",qzUBmHxpnLA
Steve Jobs,video,,10/30/1996,"October 30, 1996",w0Vvl_ByCXM
Steve Jobs,video,,1/15/2008,"January 15, 2008",1CgAKBf4bbU
Steve Jobs,video,,8/1/1981,"August 1, 1981",UZCu2D_T9OU
Steve Jobs,video,,4/20/1995,"April 20, 1995",M6Oxl5dAnR0
Steve Jobs,video,,10/23/2001,"October 23, 2001",SYMTy6fchiQ
Steve Jobs,video,,6/7/2003,"June 7, 2003",mCBu50CozH0
Steve Jobs,video,,8/1/1980,"August 1, 1980",N3ponn_6Fac
Steve Jobs,video,,1/24/1984,"January 24, 1984",8bepzUM1x3w
Steve Jobs,video,,5/30/2007,"May 30, 2007",xlWk_tlRMaY
Steve Jobs,video,,5/10/1999,"May 10, 1999",IrErYJhvAFo
Steve Jobs,video,,12/1/1985,"December 1, 1985",BNeXlJW70KQ
Steve Jobs,video,,3/6/2008,"March 6, 2008",2dODtKBl8L4
Steve Jobs,video,,6/1/2010,"June 1, 2010",ZLEzEL35Iyc
Steven Spielberg,birth,,12/18/1946,"December 18, 1946",
Steven Spielberg,video,,5/31/2015,"May 31, 2015",PFDl0KcnRFA
Steven Spielberg,video,,6/29/2005,"June 29, 2005",LLxvFakk3tg
Steven Spielberg,video,,7/24/2014,"July 24, 2014",SvKDjIhlWds
Steven Spielberg,video,,3/6/2013,"March 6, 2013",jcqy4CGAj4I
Steven Spielberg,video,,10/11/2012,"October 11, 2012",BERKF9rnBcQ
Steven Spielberg,video,,12/21/2011,"December 21, 2011",Fe7Px-ddVS4
Steven Spielberg,video,,1990,1990,Q71r-DqvEP8
Steven Spielberg,video,,1982,1982,7UEvw-cjb3w
Steven Spielberg,video,,6/7/2015,"June 7, 2015",HMI63plAgdw
Steven Spielberg,video,,11/30/1993,"November 30, 1993",cPoLT0oYv6I
Steven Spielberg,video,,5/6/1974,"May 6, 1974",77DRuGX39Gk
Steven Spielberg,video,,9/26/2012,"September 26, 2012",-lGr840jE_0
Steven Spielberg,video,,5/23/1997,"May 23, 1997",zBSHOdvsXlk
Steven Spielberg,video,,5/6/2011,"May 6, 2011",kdoC-5OI2xY
Steven Spielberg,video,,1978,1978,PDLHow-bXug
Steven Spielberg,video,,7/24/1998,"July 24, 1998",DH_ya6E-N_A
Steven Spielberg,video,,3/21/1999,"March 21, 1999",hgrbuYT9V4s
Steven Spielberg,video,,3/21/1994,"March 21, 1994",7bRNEZVNVSs
Taylor Swift,birth,,12/13/1989,"December 13, 1989",
Taylor Swift,video,,6/5/2015,"June 5, 2015",lxyCtlDXl5M
Taylor Swift,video,,10/28/2014,"October 28, 2014",NxVOAAwNWKE
Taylor Swift,video,,11/11/2014,"November 11, 2014",P-TFhUq3otQ
Taylor Swift,video,,2/24/2015,"February 24, 2015",c3tp37uotco
Taylor Swift,video,,10/25/2012,"October 25, 2012",foqBSBA0SXI
Taylor Swift,video,,10/29/2014,"October 29, 2014",A3VvZ80wy0g
Taylor Swift,video,,10/24/2014,"October 24, 2014",jZrDIxEM4s8
Taylor Swift,video,,6/23/2015,"June 23, 2015",cGXpu0NjZH8
Taylor Swift,video,,10/18/2014,"October 18, 2014",5xvlDW_jd8U
Taylor Swift,video,,10/27/2014,"October 27, 2014",T7EHtxnuVEs
Taylor Swift,video,,4/29/2015,"April 29, 2015",dLAexl8E1Ss
Taylor Swift,video,,10/6/2012,"October 6, 2012",jYWtP7gmSSY
Taylor Swift,video,,1/8/2015,"January 8, 2015",Z4fdBCCWoXU
Taylor Swift,video,,10/11/2014,"October 11, 2014",T46sPqN6Gj8
Tiger Woods,birth,,12/30/1975,"December 30, 1975",
Tiger Woods,video,,7/30/2014,"July 30, 2014",KzSkKZOVesQ
Tiger Woods,video,,3/21/2010,"March 21, 2010",nuf_7mt5ktk
Tiger Woods,video,,November- 1990,November- 1990,zBtMWA0X2Pk
Tiger Woods,video,,7/13/2015,"July 13, 2015",qE9RPATOC30
Tiger Woods,video,,8/13/2014,"August 13, 2014",voCxOZCNRJ0
Tiger Woods,video,,3/21/2010,"March 21, 2010",X7T8I_Sjads
Tiger Woods,video,,4/1/2015,"April 1, 2015",qzN0WtQ6bRA
Tiger Woods,video,,8/3/2014,"August 3, 2014",LMbZdPl3720
Tiger Woods,video,,4/10/2015,"April 10, 2015",NEj6Q5dDYOc
Tiger Woods,video,,11/4/2011,"November 4, 2011",pqmKzNONSIw
Tiger Woods,video,,1997,1997,cFpaqel4muc
Tim Burton,birth,,8/25/1958,"August 25, 1958",
Tim Burton,video,,11/19/2012,"November 19, 2012",_rDi2ndMZu0
Tim Burton,video,,2/26/2010,"February 26, 2010",clu6s7DfJnA
Tim Burton,video,,1990,1990,grYrbm34ia0
Tim Burton,video,,9/20/2012,"September 20, 2012",ki2CtwigsDY
Tim Burton,video,,12/15/2014,"December 15, 2014",ayWM4ZiGs80
Tim Burton,video,,1992,1992,krc8NVKtA0E
Tim Burton,video,,6/23/1989,"June 23, 1989",gZGwSZym3KE
